2000 2000
0 0 0
368 0 368 2000
0 368 2000 368
372 0 372 2000
0 372 2000 372
376 0 376 2000
0 376 2000 376
380 0 380 2000
0 380 2000 380
384 0 384 2000
0 384 2000 384
388 0 388 2000
0 388 2000 388
392 0 392 2000
0 392 2000 392
396 0 396 2000
0 396 2000 396
400 0 400 2000
0 400 2000 400
404 0 404 2000
0 404 2000 404
408 0 408 2000
0 408 2000 408
412 0 412 2000
0 412 2000 412
416 0 416 2000
0 416 2000 416
420 0 420 2000
0 420 2000 420
424 0 424 2000
0 424 2000 424
428 0 428 2000
0 428 2000 428
432 0 432 2000
0 432 2000 432
436 0 436 2000
0 436 2000 436
440 0 440 2000
0 440 2000 440
444 0 444 2000
0 444 2000 444
448 0 448 2000
0 448 2000 448
452 0 452 2000
0 452 2000 452
456 0 456 2000
0 456 2000 456
460 0 460 2000
0 460 2000 460
464 0 464 2000
0 464 2000 464
468 0 468 2000
0 468 2000 468
472 0 472 2000
0 472 2000 472
476 0 476 2000
0 476 2000 476
480 0 480 2000
0 480 2000 480
484 0 484 2000
0 484 2000 484
488 0 488 2000
0 488 2000 488
492 0 492 2000
0 492 2000 492
496 0 496 2000
0 496 2000 496
500 0 500 2000
0 500 2000 500
504 0 504 2000
0 504 2000 504
508 0 508 2000
0 508 2000 508
512 0 512 2000
0 512 2000 512
516 0 516 2000
0 516 2000 516
520 0 520 2000
0 520 2000 520
524 0 524 2000
0 524 2000 524
528 0 528 2000
0 528 2000 528
532 0 532 2000
0 532 2000 532
536 0 536 2000
0 536 2000 536
540 0 540 2000
0 540 2000 540
544 0 544 2000
0 544 2000 544
548 0 548 2000
0 548 2000 548
552 0 552 2000
0 552 2000 552
556 0 556 2000
0 556 2000 556
560 0 560 2000
0 560 2000 560
564 0 564 2000
0 564 2000 564
568 0 568 2000
0 568 2000 568
572 0 572 2000
0 572 2000 572
576 0 576 2000
0 576 2000 576
580 0 580 2000
0 580 2000 580
584 0 584 2000
0 584 2000 584
588 0 588 2000
0 588 2000 588
592 0 592 2000
0 592 2000 592
596 0 596 2000
0 596 2000 596
600 0 600 2000
0 600 2000 600
604 0 604 2000
0 604 2000 604
608 0 608 2000
0 608 2000 608
612 0 612 2000
0 612 2000 612
616 0 616 2000
0 616 2000 616
620 0 620 2000
0 620 2000 620
624 0 624 2000
0 624 2000 624
628 0 628 2000
0 628 2000 628
632 0 632 2000
0 632 2000 632
636 0 636 2000
0 636 2000 636
640 0 640 2000
0 640 2000 640
644 0 644 2000
0 644 2000 644
648 0 648 2000
0 648 2000 648
652 0 652 2000
0 652 2000 652
656 0 656 2000
0 656 2000 656
660 0 660 2000
0 660 2000 660
664 0 664 2000
0 664 2000 664
668 0 668 2000
0 668 2000 668
672 0 672 2000
0 672 2000 672
676 0 676 2000
0 676 2000 676
680 0 680 2000
0 680 2000 680
684 0 684 2000
0 684 2000 684
688 0 688 2000
0 688 2000 688
692 0 692 2000
0 692 2000 692
696 0 696 2000
0 696 2000 696
700 0 700 2000
0 700 2000 700
704 0 704 2000
0 704 2000 704
708 0 708 2000
0 708 2000 708
712 0 712 2000
0 712 2000 712
716 0 716 2000
0 716 2000 716
720 0 720 2000
0 720 2000 720
724 0 724 2000
0 724 2000 724
728 0 728 2000
0 728 2000 728
732 0 732 2000
0 732 2000 732
736 0 736 2000
0 736 2000 736
740 0 740 2000
0 740 2000 740
744 0 744 2000
0 744 2000 744
748 0 748 2000
0 748 2000 748
752 0 752 2000
0 752 2000 752
756 0 756 2000
0 756 2000 756
760 0 760 2000
0 760 2000 760
764 0 764 2000
0 764 2000 764
768 0 768 2000
0 768 2000 768
772 0 772 2000
0 772 2000 772
776 0 776 2000
0 776 2000 776
780 0 780 2000
0 780 2000 780
784 0 784 2000
0 784 2000 784
788 0 788 2000
0 788 2000 788
792 0 792 2000
0 792 2000 792
796 0 796 2000
0 796 2000 796
800 0 800 2000
0 800 2000 800
804 0 804 2000
0 804 2000 804
808 0 808 2000
0 808 2000 808
812 0 812 2000
0 812 2000 812
816 0 816 2000
0 816 2000 816
820 0 820 2000
0 820 2000 820
824 0 824 2000
0 824 2000 824
828 0 828 2000
0 828 2000 828
832 0 832 2000
0 832 2000 832
836 0 836 2000
0 836 2000 836
840 0 840 2000
0 840 2000 840
844 0 844 2000
0 844 2000 844
848 0 848 2000
0 848 2000 848
852 0 852 2000
0 852 2000 852
856 0 856 2000
0 856 2000 856
860 0 860 2000
0 860 2000 860
864 0 864 2000
0 864 2000 864
868 0 868 2000
0 868 2000 868
872 0 872 2000
0 872 2000 872
876 0 876 2000
0 876 2000 876
880 0 880 2000
0 880 2000 880
884 0 884 2000
0 884 2000 884
888 0 888 2000
0 888 2000 888
892 0 892 2000
0 892 2000 892
896 0 896 2000
0 896 2000 896
900 0 900 2000
0 900 2000 900
904 0 904 2000
0 904 2000 904
908 0 908 2000
0 908 2000 908
912 0 912 2000
0 912 2000 912
916 0 916 2000
0 916 2000 916
920 0 920 2000
0 920 2000 920
924 0 924 2000
0 924 2000 924
928 0 928 2000
0 928 2000 928
932 0 932 2000
0 932 2000 932
936 0 936 2000
0 936 2000 936
940 0 940 2000
0 940 2000 940
944 0 944 2000
0 944 2000 944
948 0 948 2000
0 948 2000 948
952 0 952 2000
0 952 2000 952
956 0 956 2000
0 956 2000 956
960 0 960 2000
0 960 2000 960
964 0 964 2000
0 964 2000 964
968 0 968 2000
0 968 2000 968
972 0 972 2000
0 972 2000 972
976 0 976 2000
0 976 2000 976
980 0 980 2000
0 980 2000 980
984 0 984 2000
0 984 2000 984
988 0 988 2000
0 988 2000 988
992 0 992 2000
0 992 2000 992
996 0 996 2000
0 996 2000 996
1000 0 1000 2000
0 1000 2000 1000
1004 0 1004 2000
0 1004 2000 1004
1008 0 1008 2000
0 1008 2000 1008
1012 0 1012 2000
0 1012 2000 1012
1016 0 1016 2000
0 1016 2000 1016
1020 0 1020 2000
0 1020 2000 1020
1024 0 1024 2000
0 1024 2000 1024
1028 0 1028 2000
0 1028 2000 1028
1032 0 1032 2000
0 1032 2000 1032
1036 0 1036 2000
0 1036 2000 1036
1040 0 1040 2000
0 1040 2000 1040
1044 0 1044 2000
0 1044 2000 1044
1048 0 1048 2000
0 1048 2000 1048
1052 0 1052 2000
0 1052 2000 1052
1056 0 1056 2000
0 1056 2000 1056
1060 0 1060 2000
0 1060 2000 1060
1064 0 1064 2000
0 1064 2000 1064
1068 0 1068 2000
0 1068 2000 1068
1072 0 1072 2000
0 1072 2000 1072
1076 0 1076 2000
0 1076 2000 1076
1080 0 1080 2000
0 1080 2000 1080
1084 0 1084 2000
0 1084 2000 1084
1088 0 1088 2000
0 1088 2000 1088
1092 0 1092 2000
0 1092 2000 1092
1096 0 1096 2000
0 1096 2000 1096
1100 0 1100 2000
0 1100 2000 1100
1104 0 1104 2000
0 1104 2000 1104
1108 0 1108 2000
0 1108 2000 1108
1112 0 1112 2000
0 1112 2000 1112
1116 0 1116 2000
0 1116 2000 1116
1120 0 1120 2000
0 1120 2000 1120
1124 0 1124 2000
0 1124 2000 1124
1128 0 1128 2000
0 1128 2000 1128
1132 0 1132 2000
0 1132 2000 1132
1136 0 1136 2000
0 1136 2000 1136
1140 0 1140 2000
0 1140 2000 1140
1144 0 1144 2000
0 1144 2000 1144
1148 0 1148 2000
0 1148 2000 1148
1152 0 1152 2000
0 1152 2000 1152
1156 0 1156 2000
0 1156 2000 1156
1160 0 1160 2000
0 1160 2000 1160
1164 0 1164 2000
0 1164 2000 1164
1168 0 1168 2000
0 1168 2000 1168
1172 0 1172 2000
0 1172 2000 1172
1176 0 1176 2000
0 1176 2000 1176
1180 0 1180 2000
0 1180 2000 1180
1184 0 1184 2000
0 1184 2000 1184
1188 0 1188 2000
0 1188 2000 1188
1192 0 1192 2000
0 1192 2000 1192
1196 0 1196 2000
0 1196 2000 1196
1200 0 1200 2000
0 1200 2000 1200
1204 0 1204 2000
0 1204 2000 1204
1208 0 1208 2000
0 1208 2000 1208
1212 0 1212 2000
0 1212 2000 1212
1216 0 1216 2000
0 1216 2000 1216
1220 0 1220 2000
0 1220 2000 1220
1224 0 1224 2000
0 1224 2000 1224
1228 0 1228 2000
0 1228 2000 1228
1232 0 1232 2000
0 1232 2000 1232
1236 0 1236 2000
0 1236 2000 1236
1240 0 1240 2000
0 1240 2000 1240
1244 0 1244 2000
0 1244 2000 1244
1248 0 1248 2000
0 1248 2000 1248
1252 0 1252 2000
0 1252 2000 1252
1256 0 1256 2000
0 1256 2000 1256
1260 0 1260 2000
0 1260 2000 1260
1264 0 1264 2000
0 1264 2000 1264
1268 0 1268 2000
0 1268 2000 1268
1272 0 1272 2000
0 1272 2000 1272
1276 0 1276 2000
0 1276 2000 1276
1280 0 1280 2000
0 1280 2000 1280
1284 0 1284 2000
0 1284 2000 1284
1288 0 1288 2000
0 1288 2000 1288
1292 0 1292 2000
0 1292 2000 1292
1296 0 1296 2000
0 1296 2000 1296
1300 0 1300 2000
0 1300 2000 1300
1304 0 1304 2000
0 1304 2000 1304
1308 0 1308 2000
0 1308 2000 1308
1312 0 1312 2000
0 1312 2000 1312
1316 0 1316 2000
0 1316 2000 1316
1320 0 1320 2000
0 1320 2000 1320
1324 0 1324 2000
0 1324 2000 1324
1328 0 1328 2000
0 1328 2000 1328
1332 0 1332 2000
0 1332 2000 1332
1336 0 1336 2000
0 1336 2000 1336
1340 0 1340 2000
0 1340 2000 1340
1344 0 1344 2000
0 1344 2000 1344
1348 0 1348 2000
0 1348 2000 1348
1352 0 1352 2000
0 1352 2000 1352
1356 0 1356 2000
0 1356 2000 1356
1360 0 1360 2000
0 1360 2000 1360
1364 0 1364 2000
0 1364 2000 1364
1368 0 1368 2000
0 1368 2000 1368
1372 0 1372 2000
0 1372 2000 1372
1376 0 1376 2000
0 1376 2000 1376
1380 0 1380 2000
0 1380 2000 1380
1384 0 1384 2000
0 1384 2000 1384
1388 0 1388 2000
0 1388 2000 1388
1392 0 1392 2000
0 1392 2000 1392
1396 0 1396 2000
0 1396 2000 1396
1400 0 1400 2000
0 1400 2000 1400
1404 0 1404 2000
0 1404 2000 1404
1408 0 1408 2000
0 1408 2000 1408
1412 0 1412 2000
0 1412 2000 1412
1416 0 1416 2000
0 1416 2000 1416
1420 0 1420 2000
0 1420 2000 1420
1424 0 1424 2000
0 1424 2000 1424
1428 0 1428 2000
0 1428 2000 1428
1432 0 1432 2000
0 1432 2000 1432
1436 0 1436 2000
0 1436 2000 1436
1440 0 1440 2000
0 1440 2000 1440
1444 0 1444 2000
0 1444 2000 1444
1448 0 1448 2000
0 1448 2000 1448
1452 0 1452 2000
0 1452 2000 1452
1456 0 1456 2000
0 1456 2000 1456
1460 0 1460 2000
0 1460 2000 1460
1464 0 1464 2000
0 1464 2000 1464
1468 0 1468 2000
0 1468 2000 1468
1472 0 1472 2000
0 1472 2000 1472
1476 0 1476 2000
0 1476 2000 1476
1480 0 1480 2000
0 1480 2000 1480
1484 0 1484 2000
0 1484 2000 1484
1488 0 1488 2000
0 1488 2000 1488
1492 0 1492 2000
0 1492 2000 1492
1496 0 1496 2000
0 1496 2000 1496
1500 0 1500 2000
0 1500 2000 1500
1504 0 1504 2000
0 1504 2000 1504
1508 0 1508 2000
0 1508 2000 1508
1512 0 1512 2000
0 1512 2000 1512
1516 0 1516 2000
0 1516 2000 1516
1520 0 1520 2000
0 1520 2000 1520
1524 0 1524 2000
0 1524 2000 1524
1528 0 1528 2000
0 1528 2000 1528
1532 0 1532 2000
0 1532 2000 1532
1536 0 1536 2000
0 1536 2000 1536
1540 0 1540 2000
0 1540 2000 1540
1544 0 1544 2000
0 1544 2000 1544
1548 0 1548 2000
0 1548 2000 1548
1552 0 1552 2000
0 1552 2000 1552
1556 0 1556 2000
0 1556 2000 1556
1560 0 1560 2000
0 1560 2000 1560
1564 0 1564 2000
0 1564 2000 1564
1568 0 1568 2000
0 1568 2000 1568
1572 0 1572 2000
0 1572 2000 1572
1576 0 1576 2000
0 1576 2000 1576
1580 0 1580 2000
0 1580 2000 1580
1584 0 1584 2000
0 1584 2000 1584
1588 0 1588 2000
0 1588 2000 1588
1592 0 1592 2000
0 1592 2000 1592
1596 0 1596 2000
0 1596 2000 1596
1600 0 1600 2000
0 1600 2000 1600
1604 0 1604 2000
0 1604 2000 1604
1608 0 1608 2000
0 1608 2000 1608
1612 0 1612 2000
0 1612 2000 1612
1616 0 1616 2000
0 1616 2000 1616
1620 0 1620 2000
0 1620 2000 1620
1624 0 1624 2000
0 1624 2000 1624
1628 0 1628 2000
0 1628 2000 1628
1632 0 1632 2000
0 1632 2000 1632
1636 0 1636 2000
0 1636 2000 1636
1640 0 1640 2000
0 1640 2000 1640
1644 0 1644 2000
0 1644 2000 1644
1648 0 1648 2000
0 1648 2000 1648
1652 0 1652 2000
0 1652 2000 1652
1656 0 1656 2000
0 1656 2000 1656
1660 0 1660 2000
0 1660 2000 1660
1664 0 1664 2000
0 1664 2000 1664
1668 0 1668 2000
0 1668 2000 1668
1672 0 1672 2000
0 1672 2000 1672
1676 0 1676 2000
0 1676 2000 1676
1680 0 1680 2000
0 1680 2000 1680
1684 0 1684 2000
0 1684 2000 1684
1688 0 1688 2000
0 1688 2000 1688
1692 0 1692 2000
0 1692 2000 1692
1696 0 1696 2000
0 1696 2000 1696
1700 0 1700 2000
0 1700 2000 1700
1704 0 1704 2000
0 1704 2000 1704
1708 0 1708 2000
0 1708 2000 1708
1712 0 1712 2000
0 1712 2000 1712
1716 0 1716 2000
0 1716 2000 1716
1720 0 1720 2000
0 1720 2000 1720
1724 0 1724 2000
0 1724 2000 1724
1728 0 1728 2000
0 1728 2000 1728
1732 0 1732 2000
0 1732 2000 1732
1736 0 1736 2000
0 1736 2000 1736
1740 0 1740 2000
0 1740 2000 1740
1744 0 1744 2000
0 1744 2000 1744
1748 0 1748 2000
0 1748 2000 1748
1752 0 1752 2000
0 1752 2000 1752
1756 0 1756 2000
0 1756 2000 1756
1760 0 1760 2000
0 1760 2000 1760
1764 0 1764 2000
0 1764 2000 1764
1768 0 1768 2000
0 1768 2000 1768
1772 0 1772 2000
0 1772 2000 1772
1776 0 1776 2000
0 1776 2000 1776
1780 0 1780 2000
0 1780 2000 1780
1784 0 1784 2000
0 1784 2000 1784
1788 0 1788 2000
0 1788 2000 1788
1792 0 1792 2000
0 1792 2000 1792
1796 0 1796 2000
0 1796 2000 1796
1800 0 1800 2000
0 1800 2000 1800
1804 0 1804 2000
0 1804 2000 1804
1808 0 1808 2000
0 1808 2000 1808
1812 0 1812 2000
0 1812 2000 1812
1816 0 1816 2000
0 1816 2000 1816
1820 0 1820 2000
0 1820 2000 1820
1824 0 1824 2000
0 1824 2000 1824
1828 0 1828 2000
0 1828 2000 1828
1832 0 1832 2000
0 1832 2000 1832
1836 0 1836 2000
0 1836 2000 1836
1840 0 1840 2000
0 1840 2000 1840
1844 0 1844 2000
0 1844 2000 1844
1848 0 1848 2000
0 1848 2000 1848
1852 0 1852 2000
0 1852 2000 1852
1856 0 1856 2000
0 1856 2000 1856
1860 0 1860 2000
0 1860 2000 1860
1864 0 1864 2000
0 1864 2000 1864
1868 0 1868 2000
0 1868 2000 1868
1872 0 1872 2000
0 1872 2000 1872
1876 0 1876 2000
0 1876 2000 1876
1880 0 1880 2000
0 1880 2000 1880
1884 0 1884 2000
0 1884 2000 1884
1888 0 1888 2000
0 1888 2000 1888
1892 0 1892 2000
0 1892 2000 1892
1896 0 1896 2000
0 1896 2000 1896
1900 0 1900 2000
0 1900 2000 1900
1904 0 1904 2000
0 1904 2000 1904
1908 0 1908 2000
0 1908 2000 1908
1912 0 1912 2000
0 1912 2000 1912
1916 0 1916 2000
0 1916 2000 1916
1920 0 1920 2000
0 1920 2000 1920
1924 0 1924 2000
0 1924 2000 1924
1928 0 1928 2000
0 1928 2000 1928
1932 0 1932 2000
0 1932 2000 1932
1936 0 1936 2000
0 1936 2000 1936
1940 0 1940 2000
0 1940 2000 1940
1944 0 1944 2000
0 1944 2000 1944
1948 0 1948 2000
0 1948 2000 1948
1952 0 1952 2000
0 1952 2000 1952
1956 0 1956 2000
0 1956 2000 1956
1960 0 1960 2000
0 1960 2000 1960
1964 0 1964 2000
0 1964 2000 1964
1968 0 1968 2000
0 1968 2000 1968
1972 0 1972 2000
0 1972 2000 1972
1976 0 1976 2000
0 1976 2000 1976
1980 0 1980 2000
0 1980 2000 1980
1984 0 1984 2000
0 1984 2000 1984
1988 0 1988 2000
0 1988 2000 1988
1992 0 1992 2000
0 1992 2000 1992
1996 0 1996 2000
0 1996 2000 1996
2000 0 2000 2000
0 2000 2000 2000
